110,2019/2020,Paris Saint-Germain,26/11/2019,Real Madrid,Exterieur,Estadio Santiago Bernabéu,Ligue des Champions,2 - 2,Pied gauche,,T. Courtois,81',https://www.youtube.com/watch?v=2SnH1vAKLik,01:45
111,2019/2020,Paris Saint-Germain,04/12/2019,Nantes,Domicile,Parc des Princes,Ligue 1 Conforama,2 - 0,Pied droit,Di Maria,A. Lafont,52',https://www.youtube.com/watch?v=ACLD1aYJFa0,01:48
112,2019/2020,Paris Saint-Germain,07/12/2019,Montpellier,Exterieur,Stade de la Mosson,Ligue 1 Conforama,1 - 3,Pied droit,Neymar Jr,G. Rulli,76',https://www.youtube.com/watch?v=wUsklt5VUT8,02:25
113,2019/2020,Paris Saint-Germain,11/12/2019,Galatasaray,Domicile,Parc des Princes,Ligue des Champions,5 - 0,Pied droit,Neymar Jr,F. Muslera,63',https://www.youtube.com/watch?v=jhYZsOpNLSU,N/A
114,2019/2020,Paris Saint-Germain,15/12/2019,ASSE,Exterieur,Stade Geoffroy-Guichard,Ligue 1 Conforama,0 - 4,Pied droit,Neymar Jr,S. Ruffier,43',https://www.youtube.com/watch?v=C2X1KnvYhNw,01:21
115,2019/2020,Paris Saint-Germain,15/12/2019,ASSE,Exterieur,Stade Geoffroy-Guichard,Ligue 1 Conforama,0 - 4,Pied droit,Neymar Jr,S. Ruffier,89',https://www.youtube.com/watch?v=C2X1KnvYhNw,03:07
116,2019/2020,Paris Saint-Germain,18/12/2019,Le Mans,Exterieur,Stade Marie-Marvingt,Coupe de la Ligue BKT,1 - 4,Pied droit,Marco Verratti,P. Patron,41',https://www.youtube.com/watch?v=pne3Xb7Q0zg,01:22
117,2019/2020,Paris Saint-Germain,21/12/2019,Amiens,Domicile,Parc des Princes,Ligue 1 Conforama,4 - 1,Pied droit,Neymar Jr,R. Gurtner,10',https://www.youtube.com/watch?v=OJe-A4exRoU,00:28
118,2019/2020,Paris Saint-Germain,21/12/2019,Amiens,Domicile,Parc des Princes,Ligue 1 Conforama,4 - 1,Pied droit,Di Maria,R. Gurtner,65',https://www.youtube.com/watch?v=OJe-A4exRoU,02:25
119,2019/2020,Paris Saint-Germain,08/01/2020,ASSE,Domicile,Parc des Princes,Coupe de la Ligue BKT,6 - 1,Pied droit,Mauro Icardi,J. Moulin,67',https://www.youtube.com/watch?v=83Iyx0Khe-E,02:28
